年,月,日,時,分,秒,Timer0,消費数,H,A,B,C,D,S,めざパ,威力,初期seed
0,12,19,12,36,48,c7a,0,31,0,31,31,31,30,エスパー,68,2E5C0237562FFA1D
1,9,20,13,23,55,c7a,0,31,0,30,31,30,31,むし,68,34C3B271F61DD993
2,6,24,8,40,51,c7a,0,30,0,30,30,31,30,はがね,68,C13FCDC52A642501
3,12,19,0,12,34,c7a,0,30,0,30,31,31,30,でんき,68,2EC0FE87CEF78487
6,1,11,23,23,48,c7a,0,30,0,30,30,30,30,かくとう,68,EBDDB9D412913953
9,5,29,12,42,23,c7a,0,31,0,30,31,30,30,いわ,68,2BF7F7E606384042
10,7,19,10,57,21,c7a,0,30,0,30,31,30,30,じめん,68,C4A4D4874566B072
12,12,11,0,31,38,c7a,0,31,0,30,30,30,30,かくとう,68,8E91DDE31FF664FF
13,3,22,6,33,54,c7a,0,31,0,30,30,31,31,みず,68,00E099BE19B65DC4
14,8,26,20,38,50,c7a,0,30,0,30,30,31,31,みず,68,0B2EE4A3C818AB05
14,12,16,23,34,24,c7a,0,31,0,31,31,30,31,ゴースト,68,EA786107FBA873D3
15,1,3,2,50,23,c7a,0,30,0,30,31,30,31,むし,68,A79E41FD7A0BA0A4
16,3,30,1,44,23,c7a,0,30,0,30,31,30,31,むし,68,A72BCE7F545D5D91
17,2,22,9,44,54,c7a,0,30,0,30,31,30,30,じめん,68,2ED26A18502A52CE
19,4,10,19,12,10,c7a,0,31,0,31,31,30,31,ゴースト,68,F48FC4C0793D979C
19,5,10,20,10,56,c7a,0,30,0,31,30,30,31,どく,68,9824C39BD1454F4A
19,5,14,8,33,23,c7a,0,30,0,31,30,30,31,どく,68,9DEFBD6E512C185B
19,9,27,13,39,44,c7a,0,30,0,31,30,30,30,かくとう,68,FCAFE63B0FF53E5B
21,5,24,9,12,57,c7a,0,31,0,30,31,31,31,こおり,68,6A15C1206965F5F3
21,10,9,4,11,11,c7a,0,31,0,30,31,31,30,でんき,68,64DB48A0B10775E4
21,11,24,20,2,44,c7a,0,30,0,30,31,31,31,こおり,68,171A16F938AE7362
23,3,8,12,39,4,c7a,0,31,0,30,31,31,30,でんき,68,E1E7EA896781991C
24,3,15,12,46,45,c7a,0,31,0,31,30,30,30,ひこう,68,9C81F40226FE8758
26,4,26,13,17,59,c7a,0,31,0,31,30,31,31,くさ,68,6771A2CD6E6772B7
28,6,9,17,44,34,c7a,0,30,0,31,31,30,30,いわ,68,63F3DA825D0D5568
28,6,14,14,12,48,c7a,0,31,0,31,31,31,30,エスパー,68,A4F30FE51166B88E
28,11,22,22,20,30,c7a,0,30,0,31,30,31,30,ほのお,68,CEAE7E9B575F0C17
29,7,8,14,28,40,c7a,0,31,0,30,31,30,30,いわ,68,85F275DBB8DB1182
30,12,3,7,58,34,c7a,0,31,0,30,31,31,30,でんき,68,64DB48A0D9019E58
32,5,31,23,25,15,c7a,0,31,0,30,31,30,31,むし,68,79DBD1C72355160A
32,8,26,12,58,54,c7a,0,31,0,30,30,31,31,みず,68,00E099BEBB155EBC
33,1,25,16,28,44,c7a,0,30,0,31,31,30,30,いわ,68,C59CA037A5E41621
35,10,22,17,55,10,c7a,0,30,0,30,30,30,30,かくとう,68,EBDDB9D48797BD17
38,5,21,6,25,6,c7a,0,30,0,31,30,30,31,どく,68,B347382E6D2886E1
38,8,25,8,27,26,c7a,0,31,0,30,30,31,31,みず,68,C8E24635ADFCEBE7
40,5,3,16,14,55,c7a,0,31,0,30,31,30,31,むし,68,79DBD1C72EE35FF3
41,3,17,13,50,1,c7a,0,30,0,31,31,30,31,ゴースト,68,7218643535713275
42,1,28,4,3,38,c7a,0,30,0,30,31,30,30,じめん,68,B80C5EA13D74383E
43,9,12,21,8,24,c7a,0,30,0,30,30,31,30,はがね,68,C13FCDC59C0CE736
44,9,16,16,2,40,c7a,0,30,0,30,31,30,30,じめん,68,3F69873B8D38DF34
44,11,18,6,28,16,c7a,0,31,0,30,31,30,30,いわ,68,2BF7F7E67A5FD720
47,6,26,18,34,36,c7a,0,30,0,30,30,31,31,みず,68,7B887FEF2C9C1E2D
47,8,9,0,17,59,c7a,0,31,0,31,30,31,31,くさ,68,ABEDD38010328F11
48,4,28,19,44,34,c7a,0,30,0,30,31,31,31,こおり,68,00DA85CD1E905356
49,9,8,6,2,39,c7a,0,31,0,30,30,30,30,かくとう,68,E37E874BA8D7E03F
51,9,20,12,22,58,c7a,0,30,0,31,30,31,30,ほのお,68,B938E35876795535
53,3,30,13,10,26,c7a,0,30,0,30,30,30,31,ひこう,68,6146A4A6EC8A3027
53,12,25,5,46,3,c7a,0,31,0,31,31,30,30,むし,68,2A4285ECCE189F8D
54,9,1,3,3,46,c7a,0,30,0,31,31,31,31,ドラゴン,68,0C494D233025D46E
55,1,18,20,15,47,c7a,0,30,0,30,31,31,30,でんき,68,174C193A9886A451
58,1,19,3,45,54,c7a,0,31,0,30,30,30,31,どく,68,AF5CEF2E7E8BD705
59,9,17,9,25,3,c7a,0,31,0,30,31,31,31,こおり,68,231F61814FE3FFE3
60,4,10,8,14,6,c7a,0,30,0,31,31,30,30,いわ,68,CCE69F274AC3DFB2
60,9,3,15,49,9,c7a,0,31,0,30,30,30,30,かくとう,68,B1668F2029B87F46
62,7,2,17,6,34,c7a,0,30,0,31,31,31,30,エスパー,68,3F7C5B326939B0EA
63,1,20,17,6,37,c7a,0,31,0,30,31,30,30,いわ,68,0B903EAEE951FEBB
63,8,20,10,24,12,c7a,0,31,0,30,30,31,31,みず,68,B44A74F591DB599B
64,7,12,11,27,7,c7a,0,30,0,31,30,30,30,かくとう,68,A7605F93350CB7B6
65,6,4,14,19,20,c7a,0,30,0,31,31,31,31,ドラゴン,68,00372A591732B32F
65,7,16,18,54,46,c7a,0,31,0,31,31,31,30,エスパー,68,DD15909A6014167F
66,2,21,16,38,53,c7a,0,31,0,30,31,31,30,でんき,68,64DB48A02A11D956
69,2,19,13,22,49,c7a,0,30,0,31,30,31,30,ほのお,68,CEAE7E9BB8EC002C
69,12,3,20,11,23,c7a,0,31,0,30,30,30,31,どく,68,AF5CEF2E0DE48AAB
72,10,8,16,53,43,c7a,0,30,0,30,31,30,30,じめん,68,B80C5EA1B4F71D81
75,2,1,5,9,28,c7a,0,30,0,31,31,30,31,ゴースト,68,72186435F264DD63
79,8,5,9,31,44,c7a,0,30,0,30,31,30,30,じめん,68,0C58C20E1E933325
79,11,28,11,18,0,c7a,0,30,0,31,31,31,30,エスパー,68,3F7C5B32104519B3
82,9,5,13,6,44,c7a,0,30,0,31,30,31,31,くさ,68,378778B8B458886C
82,11,13,0,5,20,c7a,0,31,0,30,31,31,31,こおり,68,231F6181E1F392EE
83,10,29,10,31,45,c7a,0,31,0,30,31,31,30,でんき,68,5411E40A3FC76F47
87,10,1,10,19,2,c7a,0,30,0,31,30,31,30,ほのお,68,C0B0D3F50C71826C
90,3,31,18,51,44,c7a,0,30,0,31,31,31,31,ドラゴン,68,00372A591CB4D821
91,5,11,16,40,9,c7a,0,31,0,30,31,30,30,いわ,68,0CBFB87B90598ED4
93,1,26,18,42,3,c7a,0,30,0,30,30,30,30,かくとう,68,EBDDB9D44BE18210
93,8,31,10,26,21,c7a,0,31,0,31,30,31,31,くさ,68,FA78988B9B879D5E
93,10,2,0,20,30,c7a,0,31,0,30,31,30,30,いわ,68,85F275DB31D60270
95,1,25,12,45,34,c7a,0,30,0,31,31,30,30,いわ,68,CCE69F27BB321B35
95,7,20,3,45,1,c7a,0,31,0,30,31,31,30,でんき,68,E1E7EA89D6669B09
96,8,1,1,37,8,c7a,0,31,0,30,30,31,30,はがね,68,B639BF555586F285
97,7,2,15,2,57,c7a,0,30,0,30,31,30,30,じめん,68,CC08D8007D3921BD
98,10,14,21,3,0,c7a,0,31,0,30,30,30,31,どく,68,E9D0EE8C166AB55A
98,12,6,7,31,44,c7a,0,30,0,30,30,31,31,みず,68,0B2EE4A36603695C
